id,name,city,postal_code,department,latitude,longitude,status
efd56cf5-be0e-4278-b3d7-b9bd317a4ecb,Golf Bluegreen Avrillé,Avrillé,49240,49,47.50862030,-0.57870190,verified
ec70ae05-b503-472a-915a-29770ad7446b,Golf de Cholet,Cholet,49300,49,47.07914000,-0.89227000,corrected
228eddc9-35c6-483f-aa5e-4557b06797d5,Golf d'Angers,Les Garennes-sur-Loire,49320,49,47.40350040,-0.45347910,verified
e8d6dc44-3444-4e5c-8729-75c8965dafe1,Anjou Golf & Country Club,Les Hauts-d'Anjou,49330,49,47.64302670,-0.55350760,verified
7cf70a91-315c-49a6-a333-5d21cf65a791,Golf de Saumur,Saumur,49400,49,47.27450210,-0.12470890,verified
ada861d9-4b43-482c-b8f7-1db799206985,Golf d'Agon-Coutainville,Agon-Coutainville,50230,50,49.05156000,-1.59976000,corrected
32bc00d1-ece8-45c7-a62b-5cee3cf7be8b,Golf de Granville Baie Saint-Michel,Bréville-sur-Mer,50290,50,48.86866700,-1.56769750,verified
b4c70cac-41df-4af0-93c0-c2bfc3b0fc7d,UGolf Reims-Bezannes,Bezannes,51430,51,49.34883100,4.06338200,corrected
44f85e20-153f-4895-a651-78074cd8d8ab,Golf de Reims,Gueux,51390,51,49.24908100,3.89726700,corrected
acddd60d-feed-44b0-9635-b058c4c0ccda,Golf Club du Pays de Laval,Changé,53810,53,48.11300000,-0.76600000,corrected
669f885d-e647-429a-bd56-d233db2253a8,Golf de Nancy-Aingeray,Aingeray,54600,54,48.73829000,6.04286000,corrected
a99cb501-5920-4aad-a8be-70b1d8a9e733,UGOLF Grand Nancy Pulnoy,Pulnoy,54425,54,48.70251000,6.26012000,corrected
a15d8243-7b86-4aac-b4c8-5805d5766e1c,Golf de Combles-en-Barrois,Combles-en-Barrois,55000,55,48.75330000,5.11620000,verified
bed627b7-ca59-4932-8db7-c21fa4cfb7fa,Golf de Madine,Nonsard-Lamarche,55210,55,48.93204370,5.74954310,verified
40fabbc1-48e9-4504-b3df-04e1656578a4,Golf Bluegreen Baden,Baden,56870,56,47.62315660,-2.93656330,verified
7cabbb96-a7da-4467-87ea-9835de4594fd,Golf Bluegreen Ploemeur Océan,Ploemeur,56270,56,47.72438570,-3.47973300,verified
aefd84ef-7ddd-4022-aea4-ade5602eb898,Golf de Bitche,Bitche,57230,57,49.05355000,7.43815000,corrected
67d49f0b-688f-4a17-a131-c2c3e68b6efa,Golf de Faulquemont-Pontpierre,Faulquemont,57380,57,49.05638510,6.62712810,verified
b9151628-de0d-4a60-b2b3-7c3d8bdb1597,Golf de la Grange aux Ormes,Marly,57155,57,49.07747550,6.15274440,verified
ea90460d-b16f-4af2-b479-49354cd6fb77,UGolf Metz - Garden Golf Metz Technopole,Metz,57070,57,49.09950730,6.22498200,verified
37d4709c-7162-425c-9963-33f03c62287a,Golf de Sarreguemines Confluences,Sarreguemines,57200,57,49.12240440,7.02439750,verified
ce7b6eac-7fc8-496b-9f06-dfc97d7aee4d,Golf Public du Nivernais,Magny-Cours,58470,58,46.87055580,3.16618800,verified
8262cb8f-2aee-4608-84f1-824c5dfe00d0,Golf Blue Green Dunkerque,Coudekerque Village,59380,59,50.98858580,2.40382420,verified
58b4e125-60e9-4020-8486-4ac90dc65893,Golf de Brigode,Villeneuve d'Ascq,59650,59,50.62889860,3.16279570,verified
44b50071-399b-476f-91be-44242ee3ba6d,Golf de Bondues,Bondues,59910,59,50.70880000,3.07740000,verified
76690d25-498e-4b58-8687-e3f5a17dc882,Golf d'Apremont,Apremont,60300,60,49.23282600,2.52733700,corrected
d564d2d0-57c0-4976-9442-dab63cae07d0,Golf de Rebetz,Chaumont-en-Vexin,60240,60,49.26848540,1.89736880,requires_check
29c00321-dc0c-40d8-b289-08ea213531b6,UGOLF Templiers,Ivry-le-Temple,60173,60,49.22531140,2.03339630,verified
35d35bb6-8e70-41ef-a583-7de223c68418,Golf du Lys Chantilly,Lamorlaye,60260,60,49.17156100,2.41557900,verified
